Team,Time,Type,Puzzle,Submission,Response
eggplant,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
eggplant,2020-02-01 10:00:00,unlock,applejacks-game,,
eggplant,2020-02-01 10:00:00,unlock,its-a-long-story,,
eggplant,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
eggplant,2020-02-01 10:00:00,unlock,flying-high,,
Mobius,2020-02-01 10:00:00,unlock,art-of-the-dress,,
Mobius,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
Mobius,2020-02-01 10:00:00,unlock,applejacks-game,,
Mobius,2020-02-01 10:00:00,unlock,its-a-long-story,,
Mobius,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
Mobius,2020-02-01 10:00:00,unlock,flying-high,,
garidan,2020-02-01 10:00:00,unlock,art-of-the-dress,,
garidan,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
garidan,2020-02-01 10:00:00,unlock,applejacks-game,,
garidan,2020-02-01 10:00:00,unlock,its-a-long-story,,
garidan,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
garidan,2020-02-01 10:00:00,unlock,flying-high,,
LateNightBakers,2020-02-01 10:00:00,unlock,art-of-the-dress,,
LateNightBakers,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
LateNightBakers,2020-02-01 10:00:00,unlock,applejacks-game,,
LateNightBakers,2020-02-01 10:00:00,unlock,its-a-long-story,,
LateNightBakers,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
LateNightBakers,2020-02-01 10:00:00,unlock,flying-high,,
rocklobsters,2020-02-01 10:00:00,unlock,art-of-the-dress,,
rocklobsters,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
rocklobsters,2020-02-01 10:00:00,unlock,applejacks-game,,
rocklobsters,2020-02-01 10:00:00,unlock,its-a-long-story,,
rocklobsters,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
rocklobsters,2020-02-01 10:00:00,unlock,flying-high,,
null,2020-02-01 10:00:00,unlock,art-of-the-dress,,
null,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
null,2020-02-01 10:00:00,unlock,applejacks-game,,
null,2020-02-01 10:00:00,unlock,its-a-long-story,,
null,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
null,2020-02-01 10:00:00,unlock,flying-high,,
nes,2020-02-01 10:00:00,unlock,art-of-the-dress,,
nes,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
nes,2020-02-01 10:00:00,unlock,applejacks-game,,
nes,2020-02-01 10:00:00,unlock,its-a-long-story,,
nes,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
nes,2020-02-01 10:00:00,unlock,flying-high,,
cardinality,2020-02-01 10:00:00,unlock,art-of-the-dress,,
cardinality,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
cardinality,2020-02-01 10:00:00,unlock,applejacks-game,,
cardinality,2020-02-01 10:00:00,unlock,its-a-long-story,,
cardinality,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
cardinality,2020-02-01 10:00:00,unlock,flying-high,,
hydra,2020-02-01 10:00:00,unlock,art-of-the-dress,,
hydra,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
hydra,2020-02-01 10:00:00,unlock,applejacks-game,,
hydra,2020-02-01 10:00:00,unlock,its-a-long-story,,
hydra,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
hydra,2020-02-01 10:00:00,unlock,flying-high,,
saddest_turtle,2020-02-01 10:00:00,unlock,art-of-the-dress,,
saddest_turtle,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
saddest_turtle,2020-02-01 10:00:00,unlock,applejacks-game,,
saddest_turtle,2020-02-01 10:00:00,unlock,its-a-long-story,,
saddest_turtle,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
saddest_turtle,2020-02-01 10:00:00,unlock,flying-high,,
MiltonChicken,2020-02-01 10:00:00,unlock,art-of-the-dress,,
MiltonChicken,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
MiltonChicken,2020-02-01 10:00:00,unlock,applejacks-game,,
MiltonChicken,2020-02-01 10:00:00,unlock,its-a-long-story,,
MiltonChicken,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
MiltonChicken,2020-02-01 10:00:00,unlock,flying-high,,
squirreltrap,2020-02-01 10:00:00,unlock,art-of-the-dress,,
squirreltrap,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
squirreltrap,2020-02-01 10:00:00,unlock,applejacks-game,,
squirreltrap,2020-02-01 10:00:00,unlock,its-a-long-story,,
squirreltrap,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
squirreltrap,2020-02-01 10:00:00,unlock,flying-high,,
tadear,2020-02-01 10:00:00,unlock,art-of-the-dress,,
tadear,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
tadear,2020-02-01 10:00:00,unlock,applejacks-game,,
tadear,2020-02-01 10:00:00,unlock,its-a-long-story,,
tadear,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
tadear,2020-02-01 10:00:00,unlock,flying-high,,
ogopogo,2020-02-01 10:00:00,unlock,art-of-the-dress,,
ogopogo,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
ogopogo,2020-02-01 10:00:00,unlock,applejacks-game,,
ogopogo,2020-02-01 10:00:00,unlock,its-a-long-story,,
ogopogo,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
ogopogo,2020-02-01 10:00:00,unlock,flying-high,,
oztuzzler,2020-02-01 10:00:00,unlock,art-of-the-dress,,
oztuzzler,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
oztuzzler,2020-02-01 10:00:00,unlock,applejacks-game,,
oztuzzler,2020-02-01 10:00:00,unlock,its-a-long-story,,
oztuzzler,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
oztuzzler,2020-02-01 10:00:00,unlock,flying-high,,
joanneyu0614,2020-02-01 10:00:00,unlock,art-of-the-dress,,
joanneyu0614,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
joanneyu0614,2020-02-01 10:00:00,unlock,applejacks-game,,
joanneyu0614,2020-02-01 10:00:00,unlock,its-a-long-story,,
joanneyu0614,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
joanneyu0614,2020-02-01 10:00:00,unlock,flying-high,,
robschab,2020-02-01 10:00:00,unlock,art-of-the-dress,,
robschab,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
robschab,2020-02-01 10:00:00,unlock,applejacks-game,,
robschab,2020-02-01 10:00:00,unlock,its-a-long-story,,
robschab,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
robschab,2020-02-01 10:00:00,unlock,flying-high,,
hotjupiters,2020-02-01 10:00:00,unlock,art-of-the-dress,,
hotjupiters,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
hotjupiters,2020-02-01 10:00:00,unlock,applejacks-game,,
hotjupiters,2020-02-01 10:00:00,unlock,its-a-long-story,,
hotjupiters,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
hotjupiters,2020-02-01 10:00:00,unlock,flying-high,,
bigspoop,2020-02-01 10:00:00,unlock,art-of-the-dress,,
bigspoop,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
bigspoop,2020-02-01 10:00:00,unlock,applejacks-game,,
bigspoop,2020-02-01 10:00:00,unlock,its-a-long-story,,
bigspoop,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
bigspoop,2020-02-01 10:00:00,unlock,flying-high,,
Undecided,2020-02-01 10:00:00,unlock,art-of-the-dress,,
Undecided,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
Undecided,2020-02-01 10:00:00,unlock,applejacks-game,,
Undecided,2020-02-01 10:00:00,unlock,its-a-long-story,,
Undecided,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
Undecided,2020-02-01 10:00:00,unlock,flying-high,,
scyth,2020-02-01 10:00:00,unlock,art-of-the-dress,,
scyth,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
scyth,2020-02-01 10:00:00,unlock,applejacks-game,,
scyth,2020-02-01 10:00:00,unlock,its-a-long-story,,
scyth,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
scyth,2020-02-01 10:00:00,unlock,flying-high,,
Dora,2020-02-01 10:00:00,unlock,art-of-the-dress,,
Dora,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
Dora,2020-02-01 10:00:00,unlock,applejacks-game,,
Dora,2020-02-01 10:00:00,unlock,its-a-long-story,,
Dora,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
Dora,2020-02-01 10:00:00,unlock,flying-high,,
peab,2020-02-01 10:00:00,unlock,art-of-the-dress,,
peab,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
peab,2020-02-01 10:00:00,unlock,applejacks-game,,
peab,2020-02-01 10:00:00,unlock,its-a-long-story,,
peab,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
peab,2020-02-01 10:00:00,unlock,flying-high,,
blueherrings,2020-02-01 10:00:00,unlock,art-of-the-dress,,
blueherrings,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
blueherrings,2020-02-01 10:00:00,unlock,applejacks-game,,
blueherrings,2020-02-01 10:00:00,unlock,its-a-long-story,,
blueherrings,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
blueherrings,2020-02-01 10:00:00,unlock,flying-high,,
rocketemoji,2020-02-01 10:00:00,unlock,art-of-the-dress,,
rocketemoji,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
rocketemoji,2020-02-01 10:00:00,unlock,applejacks-game,,
rocketemoji,2020-02-01 10:00:00,unlock,its-a-long-story,,
rocketemoji,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
rocketemoji,2020-02-01 10:00:00,unlock,flying-high,,
UMDB2B,2020-02-01 10:00:00,unlock,art-of-the-dress,,
UMDB2B,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
UMDB2B,2020-02-01 10:00:00,unlock,applejacks-game,,
UMDB2B,2020-02-01 10:00:00,unlock,its-a-long-story,,
UMDB2B,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
UMDB2B,2020-02-01 10:00:00,unlock,flying-high,,
gravel,2020-02-01 10:00:00,unlock,art-of-the-dress,,
gravel,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
gravel,2020-02-01 10:00:00,unlock,applejacks-game,,
gravel,2020-02-01 10:00:00,unlock,its-a-long-story,,
gravel,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
gravel,2020-02-01 10:00:00,unlock,flying-high,,
goodgnus,2020-02-01 10:00:00,unlock,art-of-the-dress,,
goodgnus,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
goodgnus,2020-02-01 10:00:00,unlock,applejacks-game,,
goodgnus,2020-02-01 10:00:00,unlock,its-a-long-story,,
goodgnus,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
goodgnus,2020-02-01 10:00:00,unlock,flying-high,,
golems,2020-02-01 10:00:00,unlock,art-of-the-dress,,
golems,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
golems,2020-02-01 10:00:00,unlock,applejacks-game,,
golems,2020-02-01 10:00:00,unlock,its-a-long-story,,
golems,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
golems,2020-02-01 10:00:00,unlock,flying-high,,
potato,2020-02-01 10:00:00,unlock,art-of-the-dress,,
potato,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
potato,2020-02-01 10:00:00,unlock,applejacks-game,,
potato,2020-02-01 10:00:00,unlock,its-a-long-story,,
potato,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
potato,2020-02-01 10:00:00,unlock,flying-high,,
qhbdramyje,2020-02-01 10:00:00,unlock,art-of-the-dress,,
qhbdramyje,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
qhbdramyje,2020-02-01 10:00:00,unlock,applejacks-game,,
qhbdramyje,2020-02-01 10:00:00,unlock,its-a-long-story,,
qhbdramyje,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
qhbdramyje,2020-02-01 10:00:00,unlock,flying-high,,
kisonecat,2020-02-01 10:00:00,unlock,art-of-the-dress,,
kisonecat,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
kisonecat,2020-02-01 10:00:00,unlock,applejacks-game,,
kisonecat,2020-02-01 10:00:00,unlock,its-a-long-story,,
kisonecat,2020-02-01 10:00:00,unlock,the-key-is-going-slow-and-steady,,
kisonecat,2020-02-01 10:00:00,unlock,flying-high,,
barkcolossus,2020-02-01 10:00:00,unlock,art-of-the-dress,,
barkcolossus,2020-02-01 10:00:00,unlock,not-quite-a-polka,,
barkcolossus,2020-02-01 10:00:00,unlock,applejacks-game,,
barkcolossus,2020-02-01 10:00:00,unlock,its-a-long-story,,
